date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2021-01-02,728.91,787.69,714.91,774.56,1352618.57668,0.06074485859426648,0.6949159754141068,1.1689804083080597,70.34172858362392,9.775319046103014,0.9823012999163364,46.84167796744084
2021-01-03,774.44,1011.07,768.71,978.28,2813603.88615,0.23350080143632557,0.7324237832613747,2.3188093151319524,82.38024180367687,22.658427155832364,1.34470844305269,60.80733131242261
2021-01-04,978.33,1162.97,890.0,1041.43,4245010.94004,0.06255412006085237,0.4112782135402995,3.1453455646386974,84.48287129642056,33.18840829615441,1.2329095698955714,75.96186701024794
2021-01-05,1041.45,1134.6,974.45,1099.56,2706995.67525,0.054315331076559836,-0.4499049839053999,1.5705509476520083,86.12432479748607,41.29548826015596,1.153483185864441,81.97532695417516
2021-01-06,1100.16,1213.0,1057.26,1208.42,2390136.59334,0.09440362142142167,-0.12448889667819074,1.224339378357134,88.56405577836749,50.60230349271525,1.1463269701602312,87.2442499678686
2021-01-07,1208.75,1289.0,1131.0,1224.87,1972922.82059,0.01352099471191881,-0.19183440785528738,0.9178302992806396,88.88217499566764,54.16048771675443,1.048501503823228,92.29824796393116
2021-01-08,1224.86,1273.75,1065.0,1216.93,2131172.92341,-0.006503422053271812,0.077156387946685,0.9233621398742867,87.61529037242461,52.24905996993846,0.9612872639718336,100.61625447666012
2021-01-09,1216.72,1304.37,1171.36,1276.0,1448871.11514,0.047398891059544646,-0.3858877844977364,0.5758478367525276,88.88462902542442,51.16692108060778,0.9549940232743266,102.93009969987125
2021-01-10,1276.0,1348.33,1170.0,1254.25,1951179.35003,-0.017192400540372965,0.2976492727190436,0.7712731418978401,85.41331250354098,45.38692853699206,0.8827991460163138,108.31582038828317
2021-01-11,1254.24,1260.0,915.0,1087.01,4099450.90046,-0.1431069766534545,0.742419053376091,1.703411094961914,64.54106341543864,27.57713119574163,0.6921866990631076,125.22187263823585
2021-01-12,1087.0,1150.02,1006.33,1050.16,2302645.34052,-0.03448827421575551,-0.5767944279504817,0.9651385288992658,61.00368308289941,11.419235594214257,0.6356579486467003,126.54102744886649
2021-01-13,1050.36,1137.65,987.48,1129.89,1564202.39081,0.07317774934014576,-0.3866825704340773,0.6718926153134627,65.41981382493796,4.557580087649342,0.6990623115076037,128.22881459586938
2021-01-14,1129.79,1247.55,1086.7,1231.62,1555737.38556,0.0862100931218448,-0.005426403474650954,0.7039333264733856,70.07618188310265,5.27592805157559,0.7832750638852537,130.5589036176893
2021-01-15,1231.89,1256.98,1069.42,1168.53,1944038.83738,-0.05258382736684997,0.2228180477498256,0.9040083276781392,64.29406305792858,0.17716609678549844,0.6921994739467756,134.63041756039928
2021-01-16,1168.48,1298.0,1151.77,1227.83,1575384.43797,0.049501835051495746,-0.21026835382175513,0.7417999531477232,67.04638068115105,-0.490122054662379,0.7392468319362362,135.45896049697046
2021-01-17,1227.83,1269.02,1165.0,1232.45,1317285.00579,0.00375567450083647,-0.17892652543665477,0.6150348354458143,67.25813559082164,-1.833300700795121,0.7228697657627199,133.21331710476815
2021-01-18,1232.5,1260.75,1182.58,1258.45,998050.11073,0.020876746806386848,-0.2775245974353169,0.4865572246345177,68.48545462684133,-2.1611026551363466,0.7349208250207058,129.28164614014855
2021-01-19,1258.52,1438.3,1251.49,1365.36,2278852.55758,0.0815373251614897,0.8256238448460156,1.417027728668565,72.97187220240254,3.333110519519863,0.8503624079370523,133.39081956911016
